group,task,score
01-data-representation,ieee754-clf,50
01-data-representation,bloom-filter,100
01-data-representation,utf8-file,100
01-data-representation-bonus,float-mul,75
01-data-representation-bonus,float-next-prev,50
01-data-representation-bonus,float-add,75
01-data-representation-bonus,float-div,75
01-data-representation-bonus,float-string,125
02-files,fs-utils,100
02-files,persistent-storage,125
02-files,same-file,50
02-files,tailf,75
02-files,linked-list,50
03-asm-1,asm-add,50
03-asm-1,asm-add-scanf,100
03-asm-1,asm-memcpy,100
03-asm-1,asm-scalar-product,200
04-asm-2,asm-add-AArch64,50
04-asm-2,asm-add-scanf-AArch64,100
04-asm-2,asm-1d-dp,150
04-asm-2-bonus,we-have-compiler-at-home,200
05-memory,linked-list-2,50
05-memory,file-allocator,100
05-memory,minigrep,100
06-processes,proc-chain,100
06-processes,proc-lca,75
07-synchronization-basics,integral,100
06-processes,lockfree-stack,75
08-interprocess-communication,file-watcher,100
06-processes,userspace-signalfd,75
09-networks,kv-server,150
15-bonus,broken-echo,50
