username,total_score
ivdev,2675
qualdum,2725
cringe,2600
mixtafor,2575
ArtemB06,2575
Ivanbir2006,2775
tsukanov.av,2575
vlburmistrov,2830
leo_pel,2575
ekzolot,2575
ggeshundra,2775
Rinat,2575
TrofiMichael,2600
semen07,2705
NNJunior,2575
RomanG,2600
makar_ripenko,2577
OlesiaSA,2725
agd,2875
SukhoruchkinArtem,2600
bernoulli,2725
Ivan_Zyryanov,2625
yuriy_potekhin,2625
Birilya,2575
iusupov.an,2648
lullabalu,2600
gaponstasy,2575
yaroslavnzp,2700
f0r3v3ryung,2575
Alexander_Pashkoff,2775
MaximFedarau,2600
senyaa,2575
iatp,2576
Mik_404,2850
Voidptr,2725
dnomsetos,2625
GOGA06,2575
danya11,2800
dcool,2575
IIIskhan,2720
GrishaGrifon,2725
SunSt0rm,2576
maxiv25,3000
MerkD,2388
Ins4n1ty,2425
Loki239,2375
abram,2375
P3taL,2350
lvbealrOS,2358
bstrsanya,2545
DmiZlo,2375
JorDestroyer,2375
kiquxd,2375
amivad,2388
IvanPantiukhin,2375
theorcos239,2375
Ho1kE,2475
Telega,2375
miheisv,2375
kmxxnp,2425
sawmvv,2375
sayheykid,2375
constatant,2375
aatar06,2475
ArseniyBurz,2375
AbraCat,2495
taron,2350
Larin,2375
hor1ey,2375
fpmi_estet,2425
nekr0man,2400
Moonlay,2395
lleryya,2350
ilkras,2100
Yaroslav,2338
karmaxxkoma,2345
emdoiqq,2175
pelmeshka,2225
oreshko078,2125
anastrasd,2125
Gendelbach,2100
Ivan_A,2175
bAsKeTbaLl_sUs,2150
NoobGrammer,2150
RuslanG,2195
n3ke2710,2325
kole_katya,2100
Gumerova,2325
Ruslan,2238
andrew-kun,2150
egorzobkov,2170
xixixaxada,2175
makkagru,2125
antonchikovar,2221
KYafyasov,2100
deep_moose,2275
Afobaboa,2245
vgaydeek,2225
SanyaKovylin,2325
splyashka,2123
Sereja,2150
2ToxF,2100
1385237,2330
milanabusheva,2210
DianaKDA,2275
elphony,2195
leohat,2175
krylovde,2150
martsev.aa,2225
Rodionno,2345
Kotovskiy,2275
ali,2150
anna.agafonova,2238
asmdan,2125
SwampWood,2170
makcvim,2100
grishared,2150
elizarov,2300
IDBcool,2250
pisarev.ed,2218
NoiceFi,2100
avg_akos_enjoyer,2275
haffshr,2150
nemeZzis,2252
22221,2225
whiterno,2170
bobge,2250
EvgenyUtkin,2250
Aman8,2276
DmitriyAlt,2245
eg0rmeister,1725
alipoviaiu,1750
Anna,1725
sh1erkeh,1850
nedivan,1725
IRakuzanI,1788
pavelsidorin,1850
OkeanuBreeves,1955
Neniy,1700
g.pistunov,1785
genius,1805
Pumshik,1900
ZHIRDILBILDIZ,1725
GreatDevResh,1935
apetr00v,1825
ilsaf.badretdinov,1895
malinka653,1725
URWeeb,1775
AblaiZ,1825
GGFu87,1900
Polina,1750
just.lera,1800
yaytsekletka,1700
BekmambetovG,1770
Ladn0,1737
IlyaLak,1713
rAdm_2,1925
ivanchsl,1700
upflipstop,1750
OlegKat,1975
fireinferno,1915
mvd676,1850
RenjIKrev,1900
art.kaznad,1745
pe3akk,1975
gr8cf,1725
SashaKhaytina,1820
KomissarovR,1700
MMatvei,1725
Feverell,1863
Timofey,1970
atolm,1725
anntnbg,1825
AspidiNTON,1995
mike,1700
PGD1,1800
eryndin,1700
armlapina,1650
Asuma,1645
Feanor,1675
AmbiValent,1600
gsblvv,1650
bobik,1625
marskond,1650
ak59mv,1625
ImNotGLaDOS,1613
Fedor,1650
Lev,1650
aes2017gg,1626
levushkina,1675
F0relka,1601
YashkinR,1645
nick-legkikh,1675
viktoriya.che,1670
elllizaveta,1625
Umedjon,1689
afleksik,1675
ALEX1F1,1600
khalitovaalbina,1600
tdjey33,1575
heidemi,1500
mik,1550
roxkis,1500
x_linyx,1575
FutureSpiritFox,1550
Firesieht,1500
Shalkren,1550
HimerZERO,1525
veronica,1500
ashqqy,1525
Elzehorn,1500
minimiss,1550
Airat_Karimov,1500
zarubin,1500
AquaSwin,1550
vpiiie,1525
livzi,1596
Valentina,1525
kandely,1375
chender335,1350
fanoxiz,1375
Eugen,1375
litvinov.na,1350
Sensei_Wu,1300
airteml,1425
Mayte,1300
ikhozhaev,1375
MetaPhys,1363
lizavokh,1400
glebboyko,1375
Bebrochka13,1475
david_shch,1375
TiLTovozzik,1350
ivan.karaulov,1370
IliaVasilenko,1425
samoilov.av,1400
atikin23,1313
GregNov,1487
sofa_root,1326
i-s-d,1213
sofiya-nes,1225
abr_alexey2006,1263
anasretdinov2,1250
Vnek,1275
Abesus,1263
KamilShamazov,1275
Krampu,1225
emil,1225
gilda,1250
BgglSt,1225
alexcap,1275
skripnikma,1275
twoyuki,1213
ann_pr_1,1295
ritatrott,1213
sultanmunirov,1250
denisbulgakow,1285
Harza,1213
AmirValik,350
anasretdinov,50
Savegor,325
noodlerescent,250
liisus,325
fortymarsh,763
anana7yk,150
Elephant,150
Ash,200
NikitaSab,775
kutuz4,613
AlexHild,775
ivangolubev,1113
SkromNIKE,1000
Kovyaza,625
matveykastar,425
andreyakritov,1013
korneforos,50
RoadToHappiness,200
7310o0137,139
